ano;municipio;reg;des_NO;des_NE;des_SO;des_SE;mat_NO;mat_NE;mat_SO;mat_SE
1984;São Paulo;4;5966;5592;5705;4253;9909;10408;10805;12387
1985;Paracatu;1;7591;7418;7426;8384;8284;8582;9084;8256
1985;Parauapebas;3;3893;2531;4585;3053;11982;13469;11925;13587
1985;São Paulo;4;5627;6382;6237;4609;10248;9618;10273;12031
1986;São Paulo;4;5730;6629;6347;5116;10145;9371;10163;11524
1987;São Paulo;4;5621;6682;6174;5126;10254;9318;10336;11514
1988;São Paulo;4;5400;6373;6112;5025;10475;9627;10398;11615
1989;São Paulo;4;4995;5772;5308;4520;10880;10228;11202;12120
1990;São Paulo;4;5022;5486;5443;4650;10853;10514;11067;11990
1991;São Paulo;4;4328;5465;4607;4262;11547;10535;11903;12378
1992;São Paulo;4;4729;5600;5027;4304;11146;10400;11483;12336
1993;São Paulo;4;4963;5795;5542;4654;10912;10205;10968;11986
1994;São Paulo;4;4647;5561;4972;4605;11228;10439;11538;12035
1995;São Paulo;4;5001;5163;5468;4606;10874;10837;11042;12034
1996;São Paulo;4;4706;5724;4805;4149;11169;10276;11705;12491
1997;São Paulo;4;4601;5188;5394;4302;11274;10812;11116;12338
1998;São Paulo;4;4601;5188;5394;4302;11274;10812;11116;12338
1999;São Paulo;4;4960;5763;5535;4525;10915;10237;10975;12115
2000;Lucas do Rio Verde;2;6446;8056;8099;11239;9429;7944;8411;5401
2000;São Paulo;4;5274;6210;5745;4619;10601;9790;10765;12021
2001;São Paulo;4;5096;5975;5458;4528;10779;10025;11052;12112
2002;São Paulo;4;5237;5950;5545;4501;10638;10050;10965;12139
2003;Paracatu;1;10462;9259;10176;10932;5413;6741;6334;5708
2003;São Paulo;4;5357;6353;5319;4546;10518;9647;11191;12094
2004;Lucas do Rio Verde;2;7827;8056;9892;11239;8048;7944;6618;5401
2004;São Paulo;4;5032;6017;5370;4503;10843;9983;11140;12137
2005;Parauapebas;3;2010;945;2517;1662;13865;15055;13993;14978
2005;São Paulo;4;5071;6111;5224;4574;10804;9889;11286;12066
2006;Parauapebas;3;2010;945;2517;1662;13865;15055;13993;14978
2006;São Paulo;4;5275;6289;5402;4386;10600;9711;11108;12254
2007;Lucas do Rio Verde;2;5741;8056;6340;11239;10134;7944;10170;5401
2007;São Paulo;4;5188;6120;5281;4395;10687;9880;11229;12245
2008;São Paulo;4;5026;5972;5308;4461;10849;10028;11202;12179
2009;São Paulo;4;4971;5570;5418;4346;10904;10430;11092;12294
2010;Paracatu;1;2872;4230;1929;3241;13003;11770;14581;13399
2010;São Paulo;4;4909;5984;5275;4393;10966;10016;11235;12247
2011;Parauapebas;3;1923;945;2517;1662;13952;15055;13993;14978
2011;São Paulo;4;5128;5927;5323;4442;10747;10073;11187;12198
2012;Paracatu;1;3483;4494;1893;3000;12392;11506;14617;13640
2012;Parauapebas;3;929;490;1199;861;14946;15510;15311;15779
2012;São Paulo;4;5272;6301;5758;4722;10603;9699;10752;11918
2013;Lucas do Rio Verde;2;15232;14738;15903;14516;643;1262;607;2124
2013;Parauapebas;3;13548;14971;14411;14346;2327;1029;2099;2294
2013;São Paulo;4;5494;6403;5595;4492;10381;9597;10915;12148
2014;Paracatu;1;7675;4977;4890;5315;8200;11023;11620;11325
2014;São Paulo;4;5615;6617;5540;4481;10260;9383;10970;12159
2015;Paracatu;1;2426;4506;2659;5259;13449;11494;13851;11381
2015;Parauapebas;3;3275;7384;3656;8185;12600;8616;12854;8455
2015;São Paulo;4;5321;6026;5494;4428;10554;9974;11016;12212
2016;Paracatu;1;2575;8079;3163;5051;13300;7921;13347;11589
2016;Lucas do Rio Verde;2;14950;15348;15792;15479;925;652;718;1161
2016;Parauapebas;3;2380;1360;2411;1905;13495;14640;14099;14735
2016;São Paulo;4;5280;6084;5573;4467;10595;9916;10937;12173
2016 (2);Parauapebas;3;5347;1203;3247;1911;10528;14797;13263;14729
2017;Paracatu;1;2114;4326;2186;4539;13761;11674;14324;12101
2017;Lucas do Rio Verde;2;9300;11639;9724;12816;6575;4361;6786;3824
2017;Parauapebas;3;4607;3955;5122;4052;11268;12045;11388;12588
2017;São Paulo;4;5595;6767;5877;4726;10280;9233;10633;11914
2018;Paracatu;1;2319;4036;2946;4723;13556;11964;13564;11917
2018;Lucas do Rio Verde;2;3728;11609;4086;12727;12147;4391;12424;3913
2018;Parauapebas;3;2067;832;2609;1318;13808;15168;13901;15322
2018;São Paulo;4;5465;6293;5372;4130;10410;9707;11138;12510
2019;Paracatu;1;4665;5276;7715;8889;11210;10724;8795;7751
2019;Lucas do Rio Verde;2;3191;5269;4585;3460;12684;10731;11925;13180
2019;São Paulo;4;5224;5910;5325;4178;10651;10090;11185;12462
2020;Paracatu;1;6918;9041;7185;6888;8957;6959;9325;9752
2020;Lucas do Rio Verde;2;11635;12051;11759;12795;4240;3949;4751;3845
2020;Parauapebas;3;2084;1117;2079;1790;13791;14883;14431;14850
2020;São Paulo;4;5520;6409;5599;4451;10355;9591;10911;12189
2021;Paracatu;1;4739;9491;8079;10664;11136;6509;8431;5976
2021;Lucas do Rio Verde;2;1182;4832;4313;5578;14693;11168;12197;11062
2022;Paracatu;1;4631;9405;7781;10781;11244;6595;8729;5859
2022;Lucas do Rio Verde;2;6055;9162;7152;8385;9820;6838;9358;8255
2022;Parauapebas;3;2084;1117;2079;1790;13791;14883;14431;14850
2023;Paracatu;1;2774;6195;2978;4517;13101;9805;13532;12123
2023;Lucas do Rio Verde;2;7522;9162;6951;8385;8353;6838;9559;8255
2024;Lucas do Rio Verde;2;5287;8137;4310;6444;10588;7863;12200;10196
